n02666196	abacus
n02920369	bunker, sand trap, trap
n02921029	bunsen burner, bunsen, etna
n02921756	burglar alarm
n02923129	burner
n02924116	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle
n02925385	bush jacket
n02925666	buskin, combat boot, desert boot, half boot, top boot
n02927161	butcher shop, meat market
n02927764	butter dish
n02928608	button
n02929289	buttress, buttressing
n02930766	cab, hack, taxi, taxicab
n02931417	cabaret, nightclub, night club, club, nightspot
n02932019	cabin
n02932400	cabin
n02932523	cabin car, caboose
n02932693	cabin class, second class, economy class
n02932891	cabin cruiser, cruiser, pleasure boat, pleasure craft
n02933112	cabinet
n02933340	cabinet, console
n02934451	cable car, car
n02935658	cafe, coffeehouse, coffee shop, coffee bar
n02936714	cage, coop
n02939185	caldron, cauldron
n02942349	camcorder
n02942699	camera, photographic camera
n02943871	camera tripod
n02945813	camp, refugee camp
n02946348	camper, camping bus, motor home
n02946921	can, tin, tin can
n02947818	candelabrum, candelabra
n02948072	candle, taper, wax light
n02948557	candlestick, candle holder
n02949202	cane
n02949542	canister, cannister, tin
n02950632	cannon
n02950826	cannon
n02951358	canoe
n02951585	can opener, tin opener
n02951703	canopic jar, canopic vase
n02951843	canopy
n02952109	canopy
n02952237	canopy
n02952374	canteen
n02953673	canvas, canvass
n02954163	canvas tent, canvas, canvass
n02954340	cap
n02954938	cap
n02955065	cap
n02956795	cap opener
n02958343	car, auto, automobile, machine, motorcar
n02959942	car, railcar, railway car, railroad car
n02960352	car, elevator car
n02961035	caravansary, caravanserai, khan, caravan inn
n02963159	cardigan
n02963302	card index, card catalog, card catalogue
n02963821	car door
n02964075	card table
n02964196	card table
n02964634	cargo area, cargo deck, cargo hold, hold, storage area
n02965783	car mirror
n02966193	carousel, carrousel, merry-go-round, roundabout, whirligig
n02966687	carpenter's kit, tool kit
n02968333	carrel, carrell, cubicle, stall
n02970685	car seat
n02970849	cart
n02971167	car tire, automobile tire, auto tire, rubber tire
n02971356	carton
n02971579	car train
n02972714	cartridge extractor, cartridge remover, extractor
n02973236	cartwheel
n02973904	carving knife
n02974003	car wheel
n02974348	caryatid
n02975212	case, display case, showcase, vitrine
n02976123	case knife, sheath knife
n02976249	case knife
n02976815	cash bar
n02977058	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
n02977438	cash register, register
n02978881	cassette
n02979186	cassette player
n02979836	cast, plaster cast, plaster bandage
n02980441	castle
n02981792	catamaran
n02984061	cathedral
n02988304	CD player
n02990373	ceiling
n02991048	cell, electric cell
n02991302	cell, jail cell, prison cell
n02992211	cello, violoncello
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n02993194	cenotaph, empty tomb
n02993546	center, centre
n02995998	centrifuge, extractor, separator
n02997391	ceramic
n02997607	ceramic ware
n02998563	cesspool, cesspit, sink, sump
n02999410	chain
n03000134	chainlink fence
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n03000684	chain saw, chainsaw
n03001627	chair
n03002096	chair
n03003091	chalk
n03004275	chamberpot, potty, thunder mug
n03011741	checkout, checkout counter
n03012159	cheeseboard, cheese tray
n03012897	chemical plant
n03013580	chemise, shimmy, shift, slip, teddy
n03014440	chessman, chess piece
n03014705	chest
n03015254	chest of drawers, chest, bureau, dresser
n03016737	chicken yard, hen yard, chicken run, fowl run
n03016953	chiffonier, commode
n03017168	chime, bell, gong
n03017698	chimney breast
n03017835	chimney corner, inglenook
n03018209	china
n03018349	china cabinet, china closet
n03018712	Chinese lantern
n03020034	chip, microchip, micro chip, silicon chip, microprocessor chip
n03020416	chip, poker chip
n03020692	chisel
n03025250	chopine, platform
n03026506	Christmas stocking
n03028079	church, church building
n03028596	church bell
n03028785	church hat
n03029197	church tower
n03032252	cinema, movie theater, movie theatre, movie house, picture palace
n03033986	circuit board, circuit card, board, card, plug-in, add-in
n03034663	circular saw, buzz saw
n03035252	circus tent, big top, round top, top
n03035510	cistern
n03035715	cistern, water tank
n03036022	city hall
n03036244	city university
n03036469	civilian clothing, civilian dress, civilian garb, plain clothes
n03038685	classroom, schoolroom
n03039493	claymore
n03041632	cleaver, meat cleaver, chopper
n03042490	cliff dwelling
n03044934	clipper
n03045698	cloak
n03046257	clock
n03046921	clock radio
n03047690	clog, geta, patten, sabot
n03049457	closet
n03049924	cloth cap, flat cap
n03050546	clothes closet, clothespress
n03051396	clothes tree, coat tree, coat stand
n03052464	clothing store, haberdashery, haberdashery store, mens store
n03055670	coach, four-in-hand, coach-and-four
n03057021	coat
n03057920	coat hanger, clothes hanger, dress hanger
n03058107	coating, coat
n03062245	cocktail shaker
n03062985	coffee can
n03063073	coffee cup
n03063599	coffee mug
n03063689	coffeepot
n03063968	coffee table, cocktail table
n03064758	coffin, casket
n03065424	coil, spiral, volute, whorl, helix
n03067212	cold chisel, set chisel
n03067339	cold cream, coldcream, face cream, vanishing cream
n03067518	cold frame
n03068998	collar
n03071160	colonnade
n03072201	color television, colour television, color television system, colour television system, color TV, colour TV
n03073977	column, pillar
n03074380	column, pillar
n03075097	comb
n03075370	combination lock
n03075768	comforter, pacifier, baby's dummy, teething ring
n03079136	compact, compact car
n03079494	compact-disk burner, CD burner
n03080497	compass
n03082979	computer, computing machine, computing device, data processor, electronic computer, information processing system
n03085013	computer keyboard, keypad
n03085219	computer monitor
n03085602	computer screen, computer display
n03086457	concert grand, concert piano
n03087816	condenser microphone, capacitor microphone
n03089477	cone clutch, cone friction clutch
n03089624	confectionery, confectionary, candy store
n03089753	conference center, conference house
n03089879	conference room
n03090000	conference table, council table, council board
n03092476	console
n03092656	console
n03092883	console table, console
n03095699	container ship, containership, container vessel
n03096960	control, controller
n03097362	control center
n03097673	control key, command key
n03098140	control panel, instrument panel, control board, board, panel
n03098688	control room
n03100240	convertible
n03100346	convertible, sofa bed
n03101517	cookie cutter
n03101664	cookie jar, cooky jar
n03101796	cookie sheet, baking tray
n03106722	cord, corduroy
n03109150	corkscrew, bottle screw
n03110669	cornet, horn, trumpet, trump
n03113657	costume
n03115180	cotton
n03116530	counter
n03116767	counter, tabulator
n03118969	country house
n03119203	country store, general store, trading post
n03119396	coupe
n03120198	court, courtyard
n03120491	court
n03120778	court, courtroom
n03122073	covered bridge
n03122202	covered couch
n03122295	covered wagon, Conestoga wagon, Conestoga, prairie wagon, prairie schooner
n03124043	cowboy boot
n03124170	cowboy hat, ten-gallon hat
n03124590	cow pen, cattle pen, corral
n03125057	CPU board, mother board
n03125729	cradle
n03126385	crampon, crampoon, climbing iron, climber
n03126707	crane
n03127747	crash helmet
n03127925	crate
n03128519	cream, ointment, emollient
n03129001	cream pitcher, creamer
n03131574	crib, cot
n03133415	crock, earthenware jar
n03133878	Crock Pot
n03134739	croquet ball
n03135532	cross
n03138669	crown, diadem
n03141823	crutch
n03142679	crystal, watch crystal, watch glass
n03143572	crystal microphone
n03145522	cue, cue stick, pool cue, pool stick
n03145719	cue ball
n03146219	cuirass
n03147509	cup
n03148324	cupboard, closet
n03148518	cup hook
n03149135	curb, curb bit
n03149401	curb roof
n03150511	curling iron
n03151077	curtain, drape, drapery, mantle, pall
n03154073	cutter, cutlery, cutting tool
n03154446	cutting implement
n03159640	dais, podium, pulpit, rostrum, ambo, stump, soapbox
n03160309	dam, dike, dyke
n03166809	death house, death row
n03167978	deck
n03168107	deck
n03168217	deck chair, beach chair
n03173387	delicatessen, deli, food shop
n03173929	delivery truck, delivery van, panel truck
n03179701	desk
n03179910	desk phone
n03180011	desktop computer
n03180969	detector, sensor, sensing element
n03187595	dial telephone, dial phone
n03188531	diaper, nappy, napkin
n03196062	digital camera
n03196217	digital clock
n03197337	digital watch
n03200231	dining area
n03200357	dining car, diner, dining compartment, buffet car
n03200906	dining-room furniture
n03201035	dining-room table
n03201208	dining table, board
n03201895	dinner napkin
n03201996	dinner pail, dinner bucket
n03204558	DIP switch, dual inline package switch
n03205143	directional microphone
n03206282	disco, discotheque
n03206908	dish
n03207305	dish, dish aerial, dish antenna, saucer
n03207743	dishrag, dishcloth
n03207941	dishwasher, dish washer, dishwashing machine
n03208556	disk, disc
n03208938	disk brake, disc brake
n03211117	display, video display
n03211616	display panel, display board, board
n03211789	display window, shop window, shopwindow, show window
n03216710	Dixie cup, paper cup
n03216828	dock, dockage, docking facility
n03218198	dogsled, dog sled, dog sleigh
n03220237	dolmen, cromlech, portal tomb
n03220513	dome
n03220692	dome, domed stadium, covered stadium
n03221720	door
n03222176	door
n03222318	door
n03222516	doorbell, bell, buzzer
n03223299	doormat, welcome mat
n03223686	doorsill, doorstep, threshold
n03224893	dormitory, dorm, residence hall, hall, student residence
n03225988	double bed
n03226254	double boiler, double saucepan
n03226880	double door
n03227184	double-hung window
n03231368	drafting table, drawing table
n03232543	drain basket
n03233905	drawer
n03234952	drawing chalk
n03235042	drawing room, withdrawing room
n03235180	drawing room
n03236580	dredging bucket
n03237212	dress blues, dress whites
n03237340	dresser
n03238586	dressing table, dresser, vanity, toilet table
n03238879	dress shirt, evening shirt
n03239726	drill
n03240683	drilling platform, offshore rig
n03241335	drinking fountain, water fountain, bubbler
n03244047	driver, number one wood
n03244775	driving iron, one iron
n03245724	drone, drone pipe, bourdon
n03245889	drone, pilotless aircraft, radio-controlled aircraft
n03246454	drop curtain, drop cloth, drop
n03249569	drum, membranophone, tympan
n03249956	drum, metal drum
n03250847	drumstick
n03251533	dry dock, drydock, graving dock
n03252637	dry wall, dry-stone wall
n03252787	dual scan display
n03254737	dulcimer
n03255030	dumbbell
n03256166	dump truck, dumper, tipper truck, tipper lorry, tip truck, tipper
n03259280	Dutch oven
n03259401	Dutch oven
n03259505	dwelling, home, domicile, abode, habitation, dwelling house
n03261776	earphone, earpiece, headphone, phone
n03262809	easel
n03262932	easy chair, lounge chair, overstuffed chair
n03266371	eggbeater, eggwhisk
n03267113	eight ball
n03268790	electric, electric automobile, electric car
n03270854	electric blanket
n03271030	electric chair, chair, death chair, hot seat
n03271574	electric fan, blower
n03272010	electric guitar
n03272239	electric heater, electric fire
n03272562	electric locomotive
n03273551	electric organ, electronic organ, Hammond organ, organ
n03273740	electric range
n03273913	electric refrigerator, fridge
n03278248	electronic equipment
n03281145	elevator, lift
n03281524	elevator
n03282060	embankment
n03282295	embassy
n03287733	engine
n03290653	entertainment center
n03291819	envelope
n03294048	equipment
n03296328	escarpment, escarp, scarp, protective embankment
n03297495	espresso maker
n03301568	euphonium
n03302671	exercise bike, exercycle
n03302790	exercise device
n03308152	extractor
n03309356	eyepatch, patch
n03309808	fabric, cloth, material, textile
n03314780	face powder
n03314884	face veil
n03316105	facsimile, facsimile machine, fax
n03316406	factory, mill, manufacturing plant, manufactory
n03320519	fancy dress, masquerade, masquerade costume
n03321419	fanjet, fan-jet, turbofan, turbojet
n03325088	faucet, spigot
n03325584	feather boa, boa
n03327234	fence, fencing
n03329302	Ferris wheel
n03329663	ferry, ferryboat
n03333129	field glass, glass, spyglass
n03333610	field house, sports arena
n03335030	fighter, fighter aircraft, attack aircraft
n03337140	file, file cabinet, filing cabinet
n03337383	file folder
n03337494	file server
n03338821	film, photographic film
n03339643	filter
n03341153	finger
n03341606	finger bowl
n03343354	fipple flute, fipple pipe, recorder, vertical flute
n03343560	fire
n03343737	fire alarm, smoke alarm
n03343853	firearm, piece, small-arm
n03344305	fire bell
n03344393	fireboat
n03345487	fire engine, fire truck
n03346135	fire iron
n03347037	fire screen, fireguard
n03347617	fire tower
n03351262	fishing boat, fishing smack, fishing vessel
n03351979	fishing rod, fishing pole
n03354903	flag
n03355925	flagpole, flagstaff
n03358172	flash, photoflash, flash lamp, flashgun, flashbulb, flash bulb
n03358726	flash camera
n03359137	flashlight, torch
n03359436	flash memory
n03360133	flat arch, straight arch
n03360622	flat bench
n03364156	flipper, fin
n03365231	floatplane, pontoon plane
n03365374	flood, floodlight, flood lamp, photoflood
n03365991	floor, level, storey, story
n03366823	floor cover, floor covering
n03366974	floor joist
n03367059	floor lamp
n03367410	florist, florist shop, flower store
n03370387	fluorescent lamp
n03372029	flute, transverse flute
n03376159	fold, sheepfold, sheep pen, sheepcote
n03376595	folding chair
n03376771	folding door, accordion door
n03376938	folding saw
n03379051	football helmet
n03379828	footbridge, overcrossing, pedestrian bridge
n03380724	footstool, footrest, ottoman, tuffet
n03382292	forecourt
n03384167	fork
n03384352	forklift
n03388043	fountain
n03388183	fountain pen
n03388549	four-poster
n03390983	frame, framing
n03393017	free house
n03393912	freight car
n03394149	freight elevator, service elevator
n03394649	French door
n03394916	French horn, horn
n03395256	French polish, French polish shellac
n03395514	French window
n03399677	front porch
n03400231	frying pan, frypan, skillet
n03402941	funeral home, funeral parlor, funeral parlour, funeral chapel, funeral church, funeral-residence
n03404251	fur coat
n03405725	furniture, piece of furniture, article of furniture
n03409393	gable, gable end, gable wall
n03412058	gallery, art gallery, picture gallery
n03414162	game equipment
n03416489	garage
n03416640	garage, service department
n03416775	Garand rifle, Garand, M-1, M-1 rifle
n03417042	garbage truck, dustcart
n03418242	garden tool, lawn tool
n03420801	garrison cap, overseas cap
n03422072	gas burner, gas jet
n03422771	gas engine
n03423306	gas gun
n03423479	gas heater
n03424325	gasmask, respirator, gas helmet
n03425241	gas oven
n03425413	gas pump, gasoline pump, petrol pump, island dispenser
n03425595	gas range, gas stove, gas cooker
n03426134	gas tank, gasoline tank, petrol tank
n03427296	gate
n03431243	gear, gear mechanism
n03431745	gearing, gear, geartrain, power train, train
n03435593	geodesic dome
n03436417	gift shop, novelty shop
n03436891	gig
n03438257	glass, drinking glass
n03438863	glasses case
n03441112	glove
n03442756	goal
n03443371	goblet
n03443912	goggles
n03444034	go-kart
n03445777	golf ball
n03445924	golfcart, golf cart
n03447447	gondola
n03447721	gong, tam-tam
n03449564	government building
n03450230	gown
n03450516	gown, robe
n03452741	grand piano, grand
n03457902	greenhouse, nursery, glasshouse
n03459591	grill, grille, grillwork
n03459775	grille, radiator grille
n03461385	grocery store, grocery, food market, market
n03461882	groined vault
n03462747	ground, earth
n03463381	ground floor, first floor, ground level
n03467068	guillotine
n03467517	guitar
n03467796	guitar pick
n03467984	gun
n03471779	guy, guy cable, guy wire, guy rope
n03474779	hacksaw, hack saw, metal saw
n03476684	hair slide
n03476991	hair spray
n03478589	half track
n03478756	hall
n03478907	hall
n03481172	hammer
n03482405	hamper
n03482523	hand
n03483316	hand blower, blow dryer, blow drier, hair dryer, hair drier
n03483823	hand calculator, pocket calculator
n03484083	handcart, pushcart, cart, go-cart
n03484931	hand glass, simple microscope, magnifying glass
n03485198	hand glass, hand mirror
n03485407	hand-held computer, hand-held microcomputer
n03485794	handkerchief, hankie, hanky, hankey
n03489162	hand tool
n03490006	hand towel, face towel
n03490119	hand truck, truck
n03490884	hanger
n03492542	hard disc, hard disk, fixed disk
n03492922	hard hat, tin hat, safety hat
n03494278	harmonica, mouth organ, harp, mouth harp
n03494537	harmonium, organ, reed organ
n03495258	harp
n03496892	harvester, reaper
n03497657	hat, chapeau, lid
n03498781	hatchback
n03498962	hatchet
n03499907	Hawaiian guitar, steel guitar
n03500389	hay bale
n03500699	haymaker, hay conditioner
n03501288	head
n03501614	head
n03502200	headboard
n03502331	head covering, veil
n03504723	headquarters, central office, main office, home office, home base
n03505504	headscarf
n03505667	headset
n03506560	hearing aid, ear trumpet
n03508101	heater, warmer
n03510244	heat sink
n03511175	hedge, hedgerow
n03511333	hedge trimmer
n03512147	helicopter, chopper, whirlybird, eggbeater
n03513137	helmet
n03517647	hideaway, retreat
n03517899	high altar
n03518829	high-hat cymbal, high hat
n03521675	hipflask, pocket flask
n03522100	hip roof, hipped roof
n03527444	holster
n03528100	home, nursing home, rest home
n03529860	home theater, home theatre
n03530642	honeycomb
n03532342	hook
n03532672	hook, claw
n03532919	hook
n03534580	hoopskirt, crinoline
n03535780	horizontal bar, high bar
n03538037	horse, gymnastic horse
n03538406	horse cart, horse-cart
n03539433	horseshoe, shoe
n03540090	hose
n03540595	hospital, infirmary
n03540914	hospital bed
n03541696	hostel, hostelry, inn, lodge, auberge
n03541923	hot-air balloon
n03542333	hotel
n03543254	hot plate, hotplate
n03543394	hot rod, hot-rod
n03544143	hourglass
n03544238	hour hand, little hand
n03544360	house
n03545150	house
n03545756	house of cards, cardhouse, card-house, cardcastle
n03546340	housing, lodging, living accommodations
n03547054	hovel, hut, hutch, shack, shanty
n03557692	ice maker
n03557840	ice pack, ice bag
n03558176	ice rink, ice-skating rink, ice
n03558404	ice skate
n03561169	ignition switch
n03563200	impact printer
n03565830	in-basket, in-tray
n03571625	ink bottle, inkpot
n03571942	ink-jet printer
n03574816	instrument
n03577672	interceptor
n03579982	internal-combustion engine, ICE
n03580615	internet, net, cyberspace
n03581125	intersection, crossroad, crossway, crossing, carrefour
n03584254	iPod
n03584400	video iPod
n03584829	iron, smoothing iron
n03585073	iron
n03589791	jacket
n03590306	jacket
n03590475	jacket
n03590841	jack-o'-lantern
n03593526	jar
n03594734	jean, blue jean, denim
n03594945	jeep, landrover
n03595614	jersey, T-shirt, tee shirt
n03595860	jet, jet plane, jet-propelled plane
n03596543	jetliner
n03598930	jigsaw puzzle
n03599486	jinrikisha, ricksha, rickshaw
n03602883	joystick
n03604311	jumbojet, jumbo jet
n03604400	jumper, pinafore, pinny
n03610682	kepi, peaked cap, service cap, yachting cap
n03612814	kettle, boiler
n03612965	kettle, kettledrum, tympanum, tympani, timpani
n03613294	key
n03614007	keyboard
n03614532	keyboard instrument
n03615655	khimar
n03617480	kimono
n03618101	king
n03618678	king post
n03619396	kit, outfit
n03619890	kitchen
n03621694	kite balloon
n03623198	knee pad
n03623556	knife
n03624134	knife
n03627232	knot
n03630262	lab bench, laboratory bench
n03630383	lab coat, laboratory coat
n03631177	lace
n03632577	ladder-back
n03632729	ladder-back, ladder-back chair
n03632852	ladder truck, aerial ladder truck
n03633091	ladle
n03634034	lake dwelling, pile dwelling
n03636248	lamp
n03636649	lamp
n03637318	lampshade, lamp shade
n03639497	land line, landline
n03642806	laptop, laptop computer
n03643253	laser, optical maser
n03643737	laser printer
n03648219	laundry, wash, washing, washables
n03648431	laundry cart
n03649674	lawn chair, garden chair
n03649797	lawn furniture
n03649909	lawn mower, mower
n03652389	leaf spring
n03652932	leash, tether, lead
n03653583	lectern, reading desk
n03654826	leg
n03657121	lens cap, lens cover
n03658185	letter opener, paper knife, paperknife
n03661043	library
n03661340	lid
n03662601	lifeboat
n03662719	life buoy, lifesaver, life belt, life ring
n03665366	light, light source
n03665924	light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb
n03666591	lighter, light, igniter, ignitor
n03670208	limousine, limo
n03672827	line printer, line-at-a-time printer
n03673027	liner, ocean liner
n03676483	lipstick, lip rouge
n03678558	litterbin, litter basket, litter-basket
n03680355	Loafer
n03682487	lock
n03684143	lock-gate
n03684823	locomotive, engine, locomotive engine, railway locomotive
n03686130	loft, attic, garret
n03686924	log cabin
n03688066	long iron
n03688605	long trousers, long pants
n03690938	lotion
n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
n03691817	lounge, waiting room, waiting area
n03692522	loupe, jeweler's loupe
n03696065	luggage compartment, automobile trunk, trunk
n03696301	luggage rack, roof rack
n03697007	lumbermill, sawmill
n03699975	machine
n03700963	machine, simple machine
n03701391	machine gun
n03704549	magazine rack
n03706229	magnetic compass
n03706653	magnetic disk, magnetic disc, disk, disc
n03709823	mailbag, postbag
n03710193	mailbox, letter box
n03710637	maillot
n03710721	maillot, tank suit
n03711044	mail train
n03714235	makeup, make-up, war paint
n03715892	mallet
n03717622	manhole cover
n03718335	manometer
n03720891	maraca
n03721047	marble
n03721384	marimba, xylophone
n03722288	marketplace, market place, mart, market
n03724066	mascara
n03724870	mask
n03725600	Mason jar
n03726760	mast
n03726993	mast
